Epoch [2/50], d_loss: 0.4666798412799835, g_loss: 2.4343760013580322
Epoch [4/50], d_loss: 0.5445860028266907, g_loss: 1.929203748703003
Epoch [6/50], d_loss: 1.0153428316116333, g_loss: 3.1360130310058594
Epoch [8/50], d_loss: 0.7216922640800476, g_loss: 2.2508251667022705
Epoch [10/50], d_loss: 0.680080771446228, g_loss: 1.6533328294754028
Epoch [12/50], d_loss: 0.7725925445556641, g_loss: 1.9768704175949097
Epoch [14/50], d_loss: 0.754576563835144, g_loss: 2.0218019485473633
Epoch [16/50], d_loss: 0.8616305589675903, g_loss: 1.5482877492904663
Epoch [18/50], d_loss: 0.6818799376487732, g_loss: 2.114335060119629
Epoch [20/50], d_loss: 0.8902935981750488, g_loss: 1.3049116134643555
Epoch [22/50], d_loss: 0.7003324627876282, g_loss: 1.6397149562835693
Epoch [24/50], d_loss: 0.8196516036987305, g_loss: 2.1668365001678467
Epoch [26/50], d_loss: 0.8610305786132812, g_loss: 2.2222955226898193
Epoch [28/50], d_loss: 0.9956002235412598, g_loss: 1.7427467107772827
Epoch [30/50], d_loss: 0.8892644047737122, g_loss: 1.7212947607040405
Epoch [32/50], d_loss: 0.843104362487793, g_loss: 1.808737874031067
Epoch [34/50], d_loss: 1.114729642868042, g_loss: 1.8590980768203735
Epoch [36/50], d_loss: 1.0769298076629639, g_loss: 2.394780158996582
Epoch [38/50], d_loss: 0.5650160908699036, g_loss: 1.6278473138809204
Epoch [40/50], d_loss: 1.1979684829711914, g_loss: 2.3229191303253174
Epoch [42/50], d_loss: 1.1190309524536133, g_loss: 1.2412810325622559
Epoch [44/50], d_loss: 0.6175644993782043, g_loss: 2.144874334335327
Epoch [46/50], d_loss: 1.0030783414840698, g_loss: 2.334548234939575
Epoch [48/50], d_loss: 0.7260575294494629, g_loss: 1.9249597787857056
Epoch [50/50], d_loss: 0.9159321784973145, g_loss: 1.4933383464813232
Epoch [52/60], d_loss: 0.7488956451416016, g_loss: 2.245720386505127
Epoch [54/60], d_loss: 0.8126055598258972, g_loss: 2.0838522911071777
Epoch [56/60], d_loss: 1.1432944536209106, g_loss: 1.485188603401184
Epoch [58/60], d_loss: 0.5470643043518066, g_loss: 2.1131272315979004
Epoch [60/60], d_loss: 0.8396501541137695, g_loss: 2.3895833492279053
Epoch [62/70], d_loss: 0.8345283269882202, g_loss: 1.8104875087738037
Epoch [64/70], d_loss: 0.7050564289093018, g_loss: 1.9122258424758911
Epoch [66/70], d_loss: 0.8270596265792847, g_loss: 2.1155381202697754
Epoch [68/70], d_loss: 0.7776942253112793, g_loss: 1.6824220418930054
Epoch [70/70], d_loss: 0.7532955408096313, g_loss: 1.8762845993041992
Epoch [72/74], d_loss: 1.0077956914901733, g_loss: 1.5236481428146362
Epoch [74/74], d_loss: 0.7536482214927673, g_loss: 1.8518728017807007
Epoch [76/80], d_loss: 0.7906343340873718, g_loss: 1.7950688600540161
Epoch [78/80], d_loss: 0.9254673719406128, g_loss: 1.7241111993789673
Epoch [80/80], d_loss: 1.017212986946106, g_loss: 2.435516119003296
