Epoch [2/50], d_loss: 0.7863485813140869, g_loss: 1.1418429613113403
Epoch [4/50], d_loss: 0.7413309812545776, g_loss: 1.9022222757339478
Epoch [6/50], d_loss: 0.7463424205780029, g_loss: 1.6914474964141846
Epoch [8/50], d_loss: 0.9098109602928162, g_loss: 1.8171217441558838
Epoch [10/50], d_loss: 1.0554189682006836, g_loss: 0.8997704386711121
Epoch [12/50], d_loss: 1.199407696723938, g_loss: 2.3744380474090576
Epoch [14/50], d_loss: 0.9796121716499329, g_loss: 1.5155723094940186
Epoch [16/50], d_loss: 0.9739120006561279, g_loss: 1.8667106628417969
Epoch [18/50], d_loss: 1.0200414657592773, g_loss: 2.035198926925659
Epoch [20/50], d_loss: 0.858726978302002, g_loss: 1.9947786331176758
Epoch [22/50], d_loss: 1.0531021356582642, g_loss: 1.5257281064987183
Epoch [24/50], d_loss: 0.8206471800804138, g_loss: 1.4706860780715942
Epoch [26/50], d_loss: 0.9418784379959106, g_loss: 2.056274890899658
Epoch [28/50], d_loss: 0.9901190400123596, g_loss: 2.2296719551086426
Epoch [30/50], d_loss: 0.8370591402053833, g_loss: 1.2975643873214722
Epoch [32/50], d_loss: 0.9335571527481079, g_loss: 2.0358471870422363
Epoch [34/50], d_loss: 0.969976544380188, g_loss: 2.0483808517456055
Epoch [36/50], d_loss: 0.7876133918762207, g_loss: 1.9630985260009766
Epoch [38/50], d_loss: 0.9808213114738464, g_loss: 1.621626615524292
Epoch [40/50], d_loss: 0.93732750415802, g_loss: 1.4895045757293701
Epoch [42/50], d_loss: 0.8358035683631897, g_loss: 1.555530071258545
Epoch [44/50], d_loss: 0.5290648341178894, g_loss: 2.4478399753570557
Epoch [46/50], d_loss: 1.055304765701294, g_loss: 1.2402353286743164
Epoch [48/50], d_loss: 0.7575477361679077, g_loss: 2.5085790157318115
Epoch [50/50], d_loss: 0.8027713894844055, g_loss: 1.9486504793167114
